ASSETID,TEXT,language,municipio,distrito,barrio,habitaciones,baños,rooms_detected,area_detected,caracteristicas_detected,ubicacion_detected,precio_detected,caracteristicas,precio,area
A3227670049490934913,"Bajo exterior e interior de 42m2 construidos, salón comedor con cocina americana, cuarto de baño con plato de ducha y dos habitaciones.
Los suelos son de tarima, puertas en roble, pintura en liso, cuarto de baño recién reformado, cocina recién alicatada sin muebles. Las ventanas son de climalit doble cristal con rejas, aire acondicionado de frío y calor en salón y habitación principal, agua caliente por termo eléctrico.
Ubicado en el barrio de San Diego- Puente Vallecas, comercios en la zona, colegios, parques y renfe Asamblea de Madrid- Entrevías.",es,Madrid,Puente de Vallecas,San Diego,2.0,1.0,"['comedor', 'cocina', 'cuarto de baño', 'dos habitaciones']",[],"['exterior', 'interior', 'plato de ducha', 'climalit', 'aire acondicionado']",[],[],['aire acondicionado'],,
A3851032432925380464,"\""Piso + garaje en zona av. Del puerto

Vendemos chollo

Ocasion 

++++ Por solo 135.000€ ++++

Piso en edificio en buen estado, este es exterior a la calle y esta en una primera altura, este consta de una superficie de 100m² repartidos en salon comedor con aire acondicionado, 4 habitaciones, baño completo en buen estado con bañera, cocina en buen estado armariada, suelo de terrazo, ventanas de climalit, techos de talla, puertas de sapely y amplio balcon.

+++ La vivienda cuenta con 2 terrazas una de 10m² y otra de 15m²+++

Vivienda en la zona de avenida del puerto. La zona cuenta con metro, buses emt, comercios cercanos, farmacias, centros de salud, colegios y demas servicios. 

Con las universidades de blasco ibañez a 10 minutos

Ven a verlo sin compromiso

Abrimos de lunes a domingo

",es,València,Camins al Grau,Albors,4.0,1.0,"['salon comedor', '4 habitaciones', 'baño', 'cocina']","['100m²', '10m²']","['exterior', 'aire acondicionado', 'bañera', 'climalit']","['puerto', 'avenida']",['chollo'],['aire acondicionado'],,100.0
A17853190189029486328,"En una zona fantástica, rodeada de parques y jardines se encuentra este pequeño edificio de 6 viviendas. Se trata de una vivienda en planta baja de 80 metros que se distribuye en 2 plantas. Es una vivienda moderna, luminosa y muy accesible. con cocina amueblada y trastero. No dude en visitarla sin compromiso.",es,Madrid,Ciudad Lineal,San Pascual,,,['cocina'],[],[],[],[],[],,
A158503630874111342,SIN COMISIÓN INMOBILIARIA. ¿Por cuanto lo comprarías? Pásenos su oferta y la estudiamos. Llámenos o escríbanos y le explicamos o enseñamos el piso. Con posibilidad de financiación de hasta el 100%.,es,València,Extramurs,La Petxina,,,[],[],[],[],['financiación'],[],,
A15702097463895182546,"ABSTENERSE AGENCIAS! Se vende magnífico piso en pleno barrio de Chamberí, zona Trafalgar, una de las mejores zonas de Madrid. Piso muy céntrico, y a la vez muy tranquilo, rodeado de todo tipo de servicios. El piso dispone de 5 dormitorios, tres cuartos de baño completos, dos terrazas, una de ellas cuenta con más de 20 metros cuadrados, con un enorme ventanal donde se puede contemplar todo el Skyline de Madrid. Tiene dos entradas, una señorial y otra de servicio, y dos ascensores, cada uno da a una de las entradas. El edificio cuenta con portero fisico. El piso necesita una reforma integral. Ya hay un proyecto valorado en 45.000€.",es,Madrid,Chamberí,Trafalgar,5.0,1.0,"['5 dormitorios', 'baño']",[],['ventanal'],[],[],[],,
A14146015277749792787,"Gran piso de 140 metros en la ciutat vella de Valencia, se compone de dos dormitorios, uno doble y otro sencillo, dos cuartos de baño reformados, amplia cocina independiente, y gran salón comedor. Vivienda con techos altos, paredes lisas, suelos de gres, amplios ventanales, muy luminosa, con armarios empotrados. Ubicado en un edificio residencial con ascensor y vigilante, en una de las mejores zonas del centro de Valencia, rodeado de todo tipo de servicios y del transporte público. Desea visitarlo? Consúltenos!",es,València,Ciutat Vella,Sant Francesc,2.0,1.0,"['dos dormitorios', 'baño', 'cocina', 'comedor']",[],"['armarios empotrados', 'ascensor']",[],[],"['armario empotrado', 'ascensor']",,
A16012405080947838588,"Estupenda vivienda recien reformada, situada en pleno barrio del retiro, a escasos 50 metros de una de sus puertas principales. 

El piso cuenta con hall de entrada con dos armarios empotrados, salón comedor muy amplio, con grandes ventanales, totalmente exterior y muy luminoso. Cocina totalmente equipada con muebles modernos y de lujo, silestone en encimeras y paredes, y electrodomésticos recientemente instalados. Amplio dormitorio con armarios empotrados y cuarto de baño totalmente equipado, con muebles, mampara de ducha, grifería y cerámica de máxima calidad. Todas las estancias están decoradas con radiadores de diseño y cuentan con equipos de aire acondicionado Mitsubishi de última generación. Toda la vivienda es exterior, dando a la tranquila calle Reyes Magos. Tarima en perfecto estado en toda la vivienda. Instalaciones eléctricas y de fontanería recientemente renovadas. Ventanas oscilo batiente de climalit, con doble acristalamiento y rotura de puente térmico en todas las estancias. El piso contaba con dos habitaciones anteriormente a la reforma.

La finca, recientemente rehabilitada, dispone de Calefacción central de gas, portero físico todos los días del año, adaptación a movilidad reducida y reformas acometidas recientemente en instalaciones eléctricas y parte de fachada. Cuenta con 5 ascensores. Cuota de Comunidad económica 110 €/mes. Sin derramas pendientes.

La ubicación del piso es inmejorable. A escasos pasos del parque del Retiro, cuenta con todos los servicios necesarios a su alrededor. Supermercados, comercios, centro de salud, colegios e institutos(Santa María del Pilar, Isable la Católica, Agustiniano, Pureza de María, Sagrado Corazón), restaurantes, centros deportivos, hospitales (Gregorio Marañon, Niño Jesús), todo al alcance de la mano. Las conexiones de metro (líneas 1 y 6) a escasos metros del portal. 8 líneas de autobús en las paradas adyacentes al portal. La Estación de Atocha se sitúa a 5 minutos, y tiene conexión perfecta con la M30 y carretera de Valencia. El centro de Madrid y barrios comerciales como el de Goya se encuentrana 15 minutos en transporte público.

Abstenerse agencias e intermediarios por favor.",es,Madrid,Retiro,Niño Jesús,2.0,1.0,"['hall de entrada', 'comedor', 'Cocina', 'dormitorio', 'cuarto de baño', 'dos habitaciones']",[],"['armarios empotrados', 'exterior', 'aire acondicionado', 'climalit', 'acristalamiento']","['parque', 'centro de salud']",['110 €'],"['armario empotrado', 'aire acondicionado']",110.0,
A12051715494675253569,"Urbanización privada con seguridad 24/7 en Calle Doña juana 1 de castilla en quinta los molinos. A 2 pasos de Arturo Soria y del campo de las naciones.

Consta de zonas ajardinadas en el
Interior con dos piscinas, parques y zona de parking al aire libre.

La casa dispone de un salón muy amplio con varias zonas, librería, salón y comedor y terraza, una gran cocina con office y terraza y 4 dormitorios amplios con armarios empotrados y una habitación pricipal con vestidor y baño doble en suit y terraza.
3 baños uno con bañera y otro plato de ducha hidromasaje.

Toda la casa dispone de sistema de aire acondicionado y calefacción.

Totalmente reformado nuevo a estrenar.

Tambien consta de una plaza de garaje grande interior con salida al mismo portal.

ABSTENERSE AGENCIAS POR FAVOR.",es,Madrid,San Blas,Salvador,4.0,3.0,"['comedor', 'cocina', 'office', '4 dormitorios', 'vestidor', 'baño', '3 baños']",[],"['zonas ajardinadas', 'Interior', 'terraza', 'armarios empotrados', 'bañera', 'plato de ducha', 'hidromasaje', 'aire acondicionado', 'interior']",[],[],"['terraza', 'armario empotrado', 'aire acondicionado']",,
A1671572496937958188,"Vivienda señorial en el centro de Valencia, dispone el edificio de calefacción central, dos ascensores y entrada de servicio con montacargas. Portería con acceso por la calle guillem de castor y calle Cervantes, Portero fisico, amplio hall de entrada y orientación sur-este y norte. Dispone la vivienda de 209 m2, distribuidos en 5 habitaciones, dos baños, el principal aplacado en marmol y bañera y otro con cabina de hidromasaje, amplia cocina con galería y acceso por el montacargas. Gran salón con preciosas vistas a la Plaza de san Agustín, Iglesia y parque, suelos de marmol, carpintería de maderas nobles, grandes armarios y librerias, amplio balcón de 9 m2.
 Esta vivienda esta situada en el centro de Valencia en un entorno de viviendas de alto standing, junto a la estación del norte, Ayuntamiento, Plaza de toros, comercios, supermercados, etc. Abstenerse inmobiliarias.",es,València,Extramurs,La Roqueta,5.0,2.0,"['entrada', 'hall de entrada', '5 habitaciones', 'dos baños', 'cocina']","['209 m2', '9 m2']","['marmol', 'bañera', 'hidromasaje']","['Iglesia', 'parque', 'Ayuntamiento']",[],[],,209.0
A1222795597314369749,"A-House le ofrece este inmueble en el barrio de “l’Antiga Esquerra de l’Eixample”.

El piso está distribuida en 90m2 útiles de vivienda más 6m2 de patio. El inmueble tiene un dormitorio interior con vestidor y aseo, un dormitorio doble exterior a la calle, un dormitorio individual interior al patio de escalera, un baño, cocina independiente con galería y gran salón-comedor de 24m2 con salida al balcón. 

La vivienda es para reformar en una finca regia.

1º de altura real con orientación a sureste. 

Cerca encontramos diversidad de transportes como metros (L1 Universitat, L1 Urgell, L5 Hospital Clínic), autobuses (TMB, AEROBUS), tren (RENFE, Estación de Plaça de Catalunya), ferrocarriles catalanes (Provença, Catalunya) y multitud de servicios como hospitales, colegios, universidades, zonas infantiles y comercios.

“L’Antiga Esquerra de l’Eixample” es una zona residencial y con alta concentración de servicios que se caracteriza por un gran dinamismo comercial, de actividades y ocio. El barrio consta de grandes equipaciones de ciudad como el Hospital Clínico y la Universidad de Barcelona. Otros puntos de atracción son “El Mercat del Ninot” i la tranquila calle “Enric Granados” con una amplia oferta en restauración. Además este barrio colinda con la “Dreta de l’Eixampla” donde se encuentra las principales calles comerciales de Barcelona, como “La Rambla”, el “Paseo de Gracia” y “la Plaza Universidad”

Aproveche esta oportunidad.",es,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,1.0,1.0,"['dormitorio', 'vestidor', 'aseo', 'baño', 'cocina']",[],"['interior', 'exterior']","['Hospital', 'Universidad']",[],[],,
A571333680340351890,"Amplio piso distribuido en 3 dormitorios uno de ellos doble, cocina, salón comedor con terraza un aseo y un baño completo. El piso dispone de calefacción por Gas Natural, las ventanas han sido cambiadas y el suelo de las habitaciones es de parquet, el resto de la casa el suelo es de terrazo. Tiene unas estupendas vistas al estadio Wanda Metropolitano y cerca de el se encuentran todo tipo de servicios y las líneas 5 y 7 de metro. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",es,Madrid,San Blas,Canillejas,3.0,1.0,"['3 dormitorios', 'cocina', 'comedor', 'aseo', 'baño']",[],['terraza'],[],[],['terraza'],,
A7946381514339226937,"Consorcio Real Estate Ópera vende vivienda en zona de Palacio Real y Catedral de la Almudena con fantásticas vistas y luminosidad. Esta vivienda se distribuye en una amplísima planta. La planta se racionaliza en un concepto muy abierto con una fácil compartimentación por su gran cantidad de ventanas. Se distribuye en cinco grandes espacios abiertos donde esta ubicado su gran salón, despacho, cocina y comedor. La zona de descanso se divide en tres grandes dormitorios en suite totalmente independientes cada uno de ellos y con todas las necesidades para ser pequeños espacios independientes para cada miembro de la familia. La vivienda esta completamente nueva con una reforma integral del año 2018.
La vivienda esta dotada de aire acondicionado y todas las instalaciones nuevas.

Las viviendas de la zona Palacio gozan del encanto de barrio histórico, que tras el paso de los años sigue conservando la esencia de la época de los Austrias.
Dicha zona delimitada entre la calle Bailén, la calle Mayor, Teatro de la Ópera y la grandiosa Plaza de Oriente, estupenda zona para pasear al lado del Palacio Real, Jardines de Sabatini y Campo del Moro, hacen de un entorno privilegiado para vivir y disfrutar del tiempo libre aún estando en el centro de Madrid. 
A un paso encontramos la calle Arenal, que une la puerta del Sol con el Teatro Real, dónde nos podemos encontrar comercios, restaurantes, bancos …, y la fabulosa Gran Vía y Plaza de Callao con cines, los mejores teatros y más comercios.
Está ubicado en un barrio tranquilo y a la vez rodeado de todas las comodidades de una gran ciudad.",es,Madrid,Centro,Palacio,,,"['despacho', 'cocina', 'comedor', 'suite']",[],['aire acondicionado'],[],[],['aire acondicionado'],,
A10359524601202908020,"Muy cerca del parque del Oeste, a un paso de la zona comercial de Princesa, se ubica esta magnifica vivienda de 231 metros cuadrados. Se trata de una sexta planta exterior. Ubicada en un bonito edificio clásico que cuenta con un amplio portal representativo en mármol y muy bien conservado. Se accede a la vivienda por un hall de entrada que da paso al salón, muy luminoso y de gran amplitud con salida a una terraza con agradables vistas. Cuenta con tres dormitorios, el principal con baño en suite y vestidor y otros dos dormitorios que comparten otro baño. La cocina de gran tamaño, cuenta con un cuarto destinado a zona de lavado. El edificio cuenta con ascensor y montacargas. La vivienda es muy luminosa y se encuentra en perfecto estado. Conserje. Excelente ubicación. En los gastos de comunidad van incluidos los gastos de calefacción.",es,Madrid,Moncloa,Argüelles,3.0,1.0,"['hall de entrada', 'tres dormitorios', 'baño en suite', 'vestidor', 'dos dormitorios', 'baño', 'cocina']",['231 metros cuadrados'],"['exterior', 'terraza', 'ascensor']",['parque'],[],"['terraza', 'ascensor']",,231.0
A14428437454314096978,"Estupenda vivienda reformada con ascensor situada junto a la estación de Metro de Goya en pleno Barrio de Salamanca. Se distribuye en salón comedor, cocina, 2 dormitorios y 1 baño. Equipada con calefacción, climatización, armarios empotrados, suelo de gres, carpintería interior en madera y exterior en aluminio blanco.
No dude en visitarla y recuerde “en Esfera no hay que sumarle ninguna comisión al precio de compra”.
NO COBRAMOS NI POR COMPRAR NI POR BUSCARLE LA MEJOR FINANCIACIÓN.

Esfera!",es,Madrid,Barrio de Salamanca,Goya,2.0,1.0,"['comedor', 'cocina', '2 dormitorios', 'baño']",[],"['ascensor', 'armarios empotrados', 'interior', 'exterior']",[],['FINANCIACIÓN'],"['ascensor', 'armario empotrado']",,
A9489507653115110833,"Magnífico piso alto y luminoso de 300 m2 en la Diagonal, a cinco minutos del Turó Parc. La vivienda, con una distribución excelente, tiene un gran salón comedor en 2 ambientes con grandes ventanales, chimenea y un despacho adjunto, cocina grande con office y lavadero y zona de servicio con habitación y aseo. La zona de noche tiene 4 dormitorios; 1 suite, 2 dobles y 1 individual que comparten otro baño. La finca tiene servicio de conserjería.",es,Barcelona,Les Corts,Les Corts,4.0,1.0,"['comedor', 'despacho', 'cocina', 'office', 'aseo', '4 dormitorios', 'suite', 'baño']",['300 m2'],['chimenea'],[],[],[],,300.0
A8782541889051847910,"Oportunidad piso a reformar junto a las Ramblas, en el corazón de Barcelona. Oportunidad para inversión.

La vivienda consta de 62m2 distribuidos en 3 habitaciones (2 dobles y 1 pequeña), salón-comedor, cocina independiente con galería y baño con bañera. Dispone de calefacción.

Finca rehabilitada, segundo sin ascensor.

Excelente ubicación en el casco antiguo, cerca de los monumentos históricos, lugares de interés, restaurantes y bares. Bien conectado con metro (L3, L2), autobuses, ferrocarriles, etc.
Oportunidad única de inversión en el centro histórico de la ciudad.

No dude en concretar una visita. 

En Gaudí House contamos con los mejores agentes inmobiliarios. 
Nuestros asesores financieros tienen las hipotecas más rápidas y baratas del mercado en su bolsillo, con las mejores condiciones y sin esperas. 
Disponemos de abogados totalmente gratuitos para cualquiera de nuestros clientes.

SI QUIERES VENDER TU CASA…

.",es,Barcelona,Ciutat Vella,El Raval,3.0,1.0,"['3 habitaciones', 'cocina', 'baño']",[],"['bañera', 'ascensor']",['mercado'],[],['ascensor'],,
A1697193865598405896,"Habitale ofrece luminosa vivienda con tres habitaciones, amplio salón comedor, baño completo y balcón de unos 8m2 con vistas despejadas, junto al Mercado de Abastos. Vivienda para entrar a vivir con cocina y baño reformados recientemente y ventanas cambiadas. Vivienda muy luminosa con doble orientación y ventilación cruzada. Finca señorial ubicada en una de las mejores zonas de la ciudad, a tan sólo un minuto de parada de metro, supermercados, colegios, centros deportivos, farmacias, transporte público, carril valenbici y a dos minutos de Gran Vía.",es,València,Extramurs,Arrancapins,3.0,1.0,"['tres habitaciones', 'comedor', 'baño', 'cocina']",[],[],"['Mercado', 'parada']",[],[],,
A1022731695293630370,"Altor Asesores pone a su disposición este apartamento en Barrio de Salamanca zona prime, vivienda ideal para inversores por su situación y alta rentabilidad por su cercanía al IE, Instituto de Empresa, zona financiera y las calles mas importantes de Madrid.

Apartamento completamente reformado y amueblado a dos minutos caminando del IE.

Segunda planta con ascensor en un enclave privilegiado, entre las Calles de Serrano, Velazquez, Juan Bravo y Diego de León.

Salón comedor en dos ambientes que dan acceso a su magnífico dormitorio doble, con un gran armario de pared a pared.

Cocina americana amueblada y equipada con nevera, lavadora, lavavajillas, microondas, vitrocerámica y campana extractora.

Amplio cuarto de baño completo con bañera.

Suelos de tarima y ventanales aluminio climalit.

Climatización por medio de aire acondicionado con bomba de calor.",es,Madrid,Barrio de Salamanca,Castellana,1.0,1.0,"['comedor', 'dormitorio', 'Cocina', 'cuarto de baño']",[],"['ascensor', 'bañera', 'climalit', 'aire acondicionado']",['Instituto'],[],"['ascensor', 'aire acondicionado']",,
A3440872962720650603,"Céntrico piso de 3 habitaciones (antes 4) situado en zona prosperidad. Una luminosa vivienda ubicada en una de las mejores zonas residenciales de Madrid, con una superficie construida por tasación oficial de 137 m2, distribuidos en salón comedor de 35 m2, terraza de 16 m2 con vistas excelentes a urbanización privada, tenis y piscina, dispone también de calefacción y agua caliente central. Una gran oportunidad, en pleno Madrid, que goza de zonas comunes rodeadas por jardines, parque infantil y buenas comunicaciones (acceso a la m-30, metros: Alfonso XIII y Avenida de la Paz, línea 4, lineas EMT: 9/72/73/120/43/40), el barrio de prosperidad, Chamartín es una de las zonas más demandadas del distrito por su gran ambiente familiar y multitud de servicios como centros educativos, mercado tradicional, parques etc.

ABSTENERSE AGENCIAS.",es,Madrid,Chamartín,Prosperidad,3.0,,"['3 habitaciones', 'comedor']","['137 m2', '35 m2', '16 m2']","['terraza', 'piscina']","['parque', 'Avenida', 'mercado']",[],"['terraza', 'piscina']",,137.0
A3924883663515046468,"LEGALFACE, advocats i agents immobiliaris vende este espectacular piso con terraza, situado en el corazón de Nova Gràcia.

Su situación y sus características hacen de él una vivienda totalmente exclusiva.

Se sitúa en la Calle Pare Lainez, en su cruce con la calle Secretari Coloma, en una de las zonas residenciales más prestigiosas de la ciudad de Barcelona. Tiene la tranquilidad de un barrio residencial pero que a su vez se encuentra en un punto medio entre el barrio del Eixample y Gràcia, a pocos metros del Passeig Sant Joan, La Avenida Diagonal y del Templo de la Sagrada Familia, zonas muy demandadas y en creciente mejora. Muy cerca del transporte público, a solo 3 minutos andando de las línea del metro L4 (Joanic), así como L5 – Verdaguer y Sagrada Familia. Varios colegios están en esta zona para acceder a ellos caminando. Gimnasios de reconocido prestigio están en la misma zona, por lo que su ubicación es ideal, ya que está próximo a todos los servicios y a instalaciones tanto lúdicas, como gastronómica y culturales.

La vivienda, un primer piso de altura real, está en muy estado de conservación y cuenta con acabados de calidad. Todo el mobiliario está hecho a medida y está diseñado para aprovechar al máximo el espacio.

Se distribuye en 2 habitaciones, una doble y una individual, un baño completo, amplio salón comedor, cocina y la espectacular terraza-patio de 42 m2 de uso privativo. 

Los detalles que la hacen merecedora de la calificación de \""exclusiva\"", se exponen a continuación:

Con carácter general:

- Aire acondicionado y calefacción por conductos en todas las estancias.

- Suelos y azulejos de mármol trevertino. 

- Chimenea.

- Espacio de almacenaje en la terraza-patio.

- Carpintería de aluminio.

Nos satisface que haya elegido usted uno de nuestros inmuebles, puede contactar con nosotros y aprovecharse de nuestra experiencia en el negocio inmobiliario. En caso de que necesite más información o desee concertar una visita para conocer la propiedad puede contactar con nosotros y estaremos encantados de atenderle.",es,Barcelona,Gràcia,El Camp d'En Grassot i Gràcia Nova,2.0,1.0,"['2 habitaciones', 'baño', 'comedor', 'cocina']",['42 m2'],"['terraza', 'Aire acondicionado', 'Chimenea']",['Avenida'],[],"['terraza', 'aire acondicionado']",,42.0
A8109547135998718748,"Piso reformado, luminoso y exterior próximo a la Avenida de Badajoz. Dispone de dos habitaciones, baño, cocina independiente y terraza incluida en el salón. Segundo. con ascensor. Máquina d split en el salón, calefacción individual y pocos gastos d comunidad.",es,Madrid,Ciudad Lineal,San Pascual,2.0,1.0,"['dos habitaciones', 'baño', 'cocina']",[],"['exterior', 'terraza', 'ascensor']",['Avenida'],[],"['terraza', 'ascensor']",,
A15491644452395880956,"MARIO INMOBILIARIA OFRECE INMUEBLE 

Se vende estupendo piso A REFORMAR, IDEAL PARA FAMILIAS O COMO INVERSIÓN, situado en pleno barrio de lavapies y bien comunicado con la red de transporte tanto en metro como en autobús. El inmueble dispone de un salón luminoso, dos dormitorios indepenidntes, una cocina equipada y un cuarto de baño completo. Tiene al alcande de la mano numerosas ofertas de ocio.

Gran oportunidad. MEJOR VER.",es,Madrid,Centro,Lavapiés-Embajadores,2.0,1.0,"['dos dormitorios', 'cocina', 'cuarto de baño']",[],[],[],[],[],,
A919698758516740351,"Renovado piso en venta de 34m2 con 1 habitación doble en El Raval tocando Sant Antoni, centro de Barcelona.",es,Barcelona,Ciutat Vella,El Raval,,,[],[],[],[],[],[],,
